Location,Plot, TreeSizes
Pine Neck,1,25.0
Pine Neck,1,14.5
Pine Neck,1,14.2
Pine Neck,1,12.5
Pine Neck,1,8.8
Pine Neck,1,7.9
Pine Neck,1,6.9
Pine Neck,2,31.6
Pine Neck,2,29.5
Pine Neck,2,29.0
Pine Neck,2,26.4
Pine Neck,2,23.5
Pine Neck,2,20.6
Pine Neck,2,17.5
Pine Neck,2,16.9
Pine Neck,2,16.1
Pine Neck,2,16.1
Pine Neck,2,15.6
Pine Neck,2,9.9
Pine Neck,2,9.0
Pine Neck,2,7.7
Pine Neck,2,6.8
Pine Neck,2,6.4
Pine Neck,2,6.3
Pine Neck,2,5.0
Pine Neck,3,45.5
Pine Neck,3,32.4
Pine Neck,3,28.1
Pine Neck,3,25.4
Pine Neck,3,25.4
Pine Neck,3,22.4
Pine Neck,3,21.2
Pine Neck,3,17.3
Pine Neck,3,15.1
Pine Neck,3,13.9
Pine Neck,3,12.3
Pine Neck,3,12.0
Pine Neck,3,11.9
Pine Neck,3,11.3
Pine Neck,3,11.0
Pine Neck,3,10.6
Pine Neck,3,8.8
Pine Neck,3,8.0
Ludlow Creek,1,44.3
Ludlow Creek,1,38.8
Ludlow Creek,1,31.6
Ludlow Creek,1,23.7
Ludlow Creek,1,22.2
Ludlow Creek,1,20.2
Ludlow Creek,1,17.3
Ludlow Creek,1,14.4
Ludlow Creek,1,13.5
Ludlow Creek,1,9.5
Ludlow Creek,1,7.3
Ludlow Creek,1,6.3
Ludlow Creek,1,5.0
Ludlow Creek,2,32.6
Ludlow Creek,2,30.9
Ludlow Creek,2,30.0
Ludlow Creek,2,28.9
Ludlow Creek,2,25.4
Ludlow Creek,2,23.7
Ludlow Creek,2,23.6
Ludlow Creek,2,22.7
Ludlow Creek,2,19.1
Ludlow Creek,2,15.8
Ludlow Creek,2,14.9
Ludlow Creek,2,13.9
Ludlow Creek,2,13.5
Ludlow Creek,2,12.8
Ludlow Creek,2,12.3
Ludlow Creek,2,10.5
Ludlow Creek,2,9.0
Ludlow Creek,2,8.1
Ludlow Creek,2,6.3
Ludlow Creek,2,5.6
Ludlow Creek,2,3.4
Ludlow Creek,3,36.0
Ludlow Creek,3,31.2
Ludlow Creek,3,26.6
Ludlow Creek,3,26.0
Ludlow Creek,3,26.0
Ludlow Creek,3,25.2
Ludlow Creek,3,25.0
Ludlow Creek,3,22.4
Ludlow Creek,3,21.2
Ludlow Creek,3,18.4
Ludlow Creek,3,18.3
Ludlow Creek,3,16.9
Ludlow Creek,3,15.2
Ludlow Creek,3,12.8
Ludlow Creek,3,12.4
Ludlow Creek,3,11.8
Ludlow Creek,3,11.2
Ludlow Creek,3,11.1
Ludlow Creek,3,9.4
Ludlow Creek,3,8.0
Ludlow Creek,3,7.5
Ludlow Creek,3,6.2
Ludlow Creek,3,6.0
Ludlow Creek,3,6.0
Ludlow Creek,3,5.0
Ludlow Creek,3,5.0
Ludlow Creek,3,4.0
Gardener County Park,1,10.8
Gardener County Park,1,39.3
Gardener County Park,1,23.9
Gardener County Park,1,15.1
Gardener County Park,1,13.0
Gardener County Park,1,13.0
Gardener County Park,1,12.0
Gardener County Park,1,11.7
Gardener County Park,1,11.5
Gardener County Park,1,10.6
Gardener County Park,1,10.5
Gardener County Park,1,9.0
Gardener County Park,1,8.8
Gardener County Park,1,8.4
Gardener County Park,1,8.2
Gardener County Park,1,7.6
Gardener County Park,1,7.5
Gardener County Park,1,7.3
Gardener County Park,1,7.1
Gardener County Park,1,6.6
Gardener County Park,1,5.7
Gardener County Park,1,5.4
Gardener County Park,1,5.4
Gardener County Park,1,5.3
Gardener County Park,1,5.1
Gardener County Park,1,4.8
Gardener County Park,1,4.8
Gardener County Park,1,4.4
