tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude ,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes,Unnamed: 17,Unnamed: 18
3.5,1.3779535,0.010355814395876912,0.20711628791753825,1.0,1.0,Black gum,Nyssa sylvatica,769.0,40.694067,-73.273042,0.65,0.479,0.646,12.484466,2024-10-11T15:29:59Z,,,
4.1,1.6141741,0.014210713468954358,0.28421426937908717,1.0,1.0,Black gum,Nyssa sylvatica,770.0,40.69407,-73.272995,0.6,0.429,0.596,10.151793,2024-10-11T15:26:28Z,,,
4.3,1.6929143,0.015630939443246047,0.31261878886492095,1.0,1.0,Black gum,Nyssa sylvatica,771.0,40.69415,-73.272982,0.61,0.439,0.606,14.947768,2024-10-11T16:00:58Z,,,
4.4,1.7322844000000002,0.01636641360850425,0.327328272170085,1.0,1.0,Black gum,Nyssa sylvatica,773.0,40.694157,-73.273017,0.67,0.499,0.666,14.16399,2024-10-11T15:56:21Z,,,
4.4,1.7322844000000002,0.01636641360850425,0.327328272170085,1.0,1.0,Black gum,Nyssa sylvatica,772.0,40.694157,-73.273017,0.67,0.499,0.666,16.552647,2024-10-11T15:57:16Z,,Total Basal Area=,Total TPA =
4.8,1.8897648,0.019477384790286045,0.3895476958057209,1.0,1.0,Black gum,Nyssa sylvatica,775.0,40.694106,-73.273101,0.59,0.419,0.586,12.475135,2024-10-11T15:32:47Z,,,
4.8,1.8897648,0.019477384790286045,0.3895476958057209,1.0,1.0,Black gum,Nyssa sylvatica,774.0,40.694157,-73.273017,0.67,0.499,0.666,16.729931,2024-10-11T15:57:30Z,,18.460224019733953,369.204480394679
5.1,2.0078751,0.021988141423408856,0.4397628284681771,1.0,1.0,Black gum,Nyssa sylvatica,776.0,40.694157,-73.273017,0.67,0.499,0.666,16.039459,2024-10-11T15:56:50Z,,,
5.3,2.0866153,0.02374651643919857,0.47493032878397134,1.0,1.0,Black gum,Nyssa sylvatica,777.0,40.694089,-73.273147,0.54,0.369,0.536,11.924624,2024-10-11T15:32:04Z,,,
5.4,2.1259854000000002,0.02465106512520578,0.4930213025041156,1.0,1.0,Black gum,Nyssa sylvatica,779.0,40.694082,-73.273001,0.6,0.429,0.596,13.510841,2024-10-11T15:27:13Z,,,
