tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude ,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes,Unnamed: 17,Unnamed: 18,Unnamed: 19
44.3,17.4409543,1.6590352811236313,33.18070562247263,1,1,Black gum,Nyssa sylvatica,842,40.734043,-73.127772,0.52,0.341,0.519,-22.542952,2024-10-03T16:41:53Z,,,,
38.8,15.2755988,1.272657732581954,25.45315465163908,1,1,Red maple,Acer rubrum ,850,40.734036,-73.127797,0.52,0.341,0.519,-23.401375,2024-10-03T16:19:01Z,,,,
31.6,12.440951600000002,0.8441552671956613,16.883105343913225,1,1,Black gum,Nyssa sylvatica,841,40.734086,-73.127781,0.6,0.421,0.599,-21.97378,2024-10-03T16:42:12Z,,,,
23.7,9.3307137,0.47483733779755943,9.49674675595119,1,1,Black gum,Nyssa sylvatica,840,40.734089,-73.127778,0.6,0.421,0.599,-25.136883,2024-10-03T16:43:57Z,,,,
22.2,8.7401622,0.4166334340297124,8.33266868059425,1,1,Black gum,Nyssa sylvatica,843,40.734043,-73.127772,0.52,0.341,0.519,-22.962831,2024-10-03T16:41:36Z,,,,
20.2,7.9527602,0.34494583723213185,6.898916744642637,1,1,Black gum,Nyssa sylvatica,847,40.734012,-73.127781,0.55,0.371,0.549,-25.603418,2024-10-03T16:24:54Z,,,,
17.3,6.811027300000001,0.2530115665748573,5.060231331497146,1,1,Black gum,Nyssa sylvatica,852,40.734042,-73.127781,0.52,0.341,0.519,-25.146214,2024-10-03T16:17:44Z,,,,
14.4,5.6692944,0.17529646311257438,3.5059292622514877,1,1,Black gum,Nyssa sylvatica,844,40.734079,-73.127832,0.78,0.601,0.779,-24.091846,2024-10-03T16:32:56Z,,,,
13.5,5.3149635,0.1540691570325361,3.081383140650722,1,1,Red maple,Acer rubrum ,849,40.734012,-73.127781,0.62,0.441,0.619,-25.435465,2024-10-03T16:22:54Z,Tree growing while uprooted,,,
9.5,3.7401595000000003,0.07629487748799113,1.5258975497598226,1,1,Red maple,Acer rubrum ,851,40.734036,-73.127797,0.52,0.341,0.519,-25.183537,2024-10-03T16:18:41Z,,,,
7.3,2.8740173,0.04504990605357393,0.9009981210714786,1,1,Black gum,Nyssa sylvatica,846,40.73403,-73.127827,0.57,0.391,0.569,-18.33481,2024-10-03T16:29:53Z,,,,
6.3,2.4803163,0.0335528386426412,0.671056772852824,1,1,Black gum,Nyssa sylvatica,848,40.734012,-73.127781,0.55,0.371,0.549,-25.267513,2024-10-03T16:24:08Z,,,,
5.0,1.9685050000000002,0.021134315093626354,0.4226863018725271,1,1,Black gum,Nyssa sylvatica,845,40.734079,-73.127832,0.78,0.601,0.779,-21.339293,2024-10-03T16:31:38Z,,,,
32.6,12.834652600000002,0.8984281883560938,17.96856376712188,1,2,Sassafras,Sassafras albidum,871,40.734132,-73.127942,1.29,1.111,1.289,-26.779085,2024-10-03T15:29:10Z,,,,
30.9,12.1653609,0.8071702157818149,16.1434043156363,1,2,Scarlet oak,Quercus coccinea,867,40.73414,-73.12805,1.67,1.491,1.669,-24.595703,2024-10-03T15:35:54Z,,,,
30.0,11.81103,0.7608353433705486,15.216706867410972,1,2,Black gum,Nyssa sylvatica,864,40.734118,-73.127883,1.08,0.901,1.079,-27.422903,2024-10-03T15:43:30Z,,,,
28.9,11.3779589,0.7060636523739063,14.121273047478127,1,2,Scarlet oak,Quercus coccinea,869,40.734154,-73.127949,1.43,1.251,1.429,-24.978262,2024-10-03T15:32:04Z,,,,
25.4,10.0000054,0.5454005890321589,10.908011780643179,1,2,Scarlet oak,Quercus coccinea,853,40.734222,-73.127866,1.19,1.011,1.189,-20.947403,2024-10-03T16:01:37Z,,,,
23.7,9.3307137,0.47483733779755943,9.49674675595119,1,2,Red maple,Acer rubrum ,859,40.734099,-73.127827,0.76,0.581,0.759,-23.85858,2024-10-03T15:49:24Z,,,,
23.6,9.291343600000001,0.47083872538184535,9.416774507636907,1,2,Red maple,Acer rubrum ,855,40.734081,-73.127877,1.04,0.861,1.039,-22.776218,2024-10-03T15:54:23Z,,,,
22.7,8.9370127,0.43561204898378886,8.712240979675776,1,2,Red maple,Acer rubrum ,854,40.734082,-73.127876,1.06,0.881,1.059,-24.55838,2024-10-03T15:54:35Z,,,,
19.1,7.519689100000001,0.3084003795722332,6.168007591444664,1,2,Black gum,Nyssa sylvatica,863,40.734118,-73.127883,1.08,0.901,1.079,-25.77137,2024-10-03T15:44:00Z,,,,
15.8,6.220475800000001,0.2110388167989153,4.220776335978306,1,2,Scarlet oak,Quercus coccinea,873,40.734166,-73.127908,1.33,1.151,1.329,-25.50078,2024-10-03T15:25:42Z,,,,
14.9,5.8661449,0.18768117175743942,3.7536234351487883,1,2,White oak,Quercus alba ,866,40.734213,-73.127976,1.54,1.361,1.539,-25.566095,2024-10-03T15:37:54Z,,,,
13.9,5.4724439,0.16333444076958187,3.266688815391637,1,2,White oak,Quercus alba ,862,40.734121,-73.127818,0.82,0.641,0.819,-25.902,2024-10-03T15:47:22Z,,,,
13.5,5.3149635,0.1540691570325361,3.081383140650722,1,2,Red maple,Acer rubrum ,861,40.734121,-73.127818,0.82,0.641,0.819,-24.661018,2024-10-03T15:48:26Z,,,,
12.8,5.039372800000001,0.13850584739758967,2.7701169479517933,1,2,Black gum,Nyssa sylvatica,870,40.734143,-73.127929,1.31,1.131,1.309,-26.975029,2024-10-03T15:30:56Z,,,,
12.3,4.842522300000001,0.12789642122058922,2.5579284244117844,1,2,Red maple,Acer rubrum ,856,40.734088,-73.127885,1.06,0.881,1.059,-24.866293,2024-10-03T15:54:00Z,,,,
10.5,4.1338605,0.0932023295628922,1.864046591257844,1,2,Red maple,Acer rubrum ,860,40.734099,-73.127827,0.82,0.641,0.819,-24.399759,2024-10-03T15:48:59Z,,,,
9.0,3.5433090000000003,0.06847518090334938,1.3695036180669875,1,2,Sassafras,Sassafras albidum,868,40.734127,-73.128038,1.63,1.451,1.629,-25.575426,2024-10-03T15:33:03Z,,,,
8.1,3.1889781,0.05546489653171299,1.1092979306342599,1,2,Red maple,Acer rubrum ,858,40.734088,-73.127885,1.06,0.881,1.059,-25.0809,2024-10-03T15:53:08Z,,,,
6.3,2.4803163,0.0335528386426412,0.671056772852824,1,2,Red maple,Acer rubrum ,872,40.734166,-73.127908,1.35,1.171,1.349,-24.884954,2024-10-03T15:26:28Z,,,,
5.6,2.2047256,0.026510884853444897,0.5302176970688979,1,2,Red maple,Acer rubrum ,857,40.734088,-73.127885,1.06,0.881,1.059,-24.203814,2024-10-03T15:53:50Z,,,,
3.4,1.3385834,0.009772507299292825,0.1954501459858565,1,2,Red maple,Acer rubrum ,865,40.73415,-73.127954,1.43,1.251,1.429,-27.758808,2024-10-03T15:41:32Z,,,,
36.0,14.173236000000001,1.09560289445359,21.9120578890718,1,3,Scarlet oak,Quercus coccinea,900,40.7343,-73.128045,1.63,1.451,1.629,-24.9596,2024-10-03T14:23:01Z,,,,
31.2,12.283471200000001,0.8229195073895855,16.45839014779171,1,3,Sassafras,Sassafras albidum,899,40.734335,-73.128142,1.71,1.531,1.709,-24.726334,2024-10-03T14:28:34Z,,,,
26.6,10.472446600000001,0.5981518395058505,11.963036790117009,1,3,Scarlet oak,Quercus coccinea,894,40.734244,-73.128185,1.65,1.471,1.649,-25.463457,2024-10-03T14:35:59Z,,,,
26.0,10.236226,0.5714718801316565,11.42943760263313,1,3,Scarlet oak,Quercus coccinea,888,40.734328,-73.12809,1.63,1.451,1.629,6.820312,2024-10-03T14:48:20Z,,,,
26.0,10.236226,0.5714718801316565,11.42943760263313,1,3,Scarlet oak,Quercus coccinea,875,40.734249,-73.128077,1.58,1.401,1.579,-25.454126,2024-10-03T15:05:47Z,,,,
25.2,9.9212652,0.5368454182822592,10.736908365645183,1,3,Scarlet oak,Quercus coccinea,879,40.734183,-73.128031,1.61,1.431,1.609,-23.046808,2024-10-03T15:00:56Z,,,,
25.0,9.842525,0.5283578773406588,10.567157546813174,1,3,Red maple,Acer rubrum ,893,40.734288,-73.12817,1.75,1.571,1.749,-25.118223,2024-10-03T14:38:13Z,,,,
22.4,8.8189024,0.42417415765511834,8.483483153102366,1,3,Scarlet oak,Quercus coccinea,877,40.734183,-73.128031,1.6,1.421,1.599,-24.250467,2024-10-03T15:02:29Z,,,,
21.2,8.3464612,0.3799442630271771,7.5988852605435415,1,3,Red maple,Acer rubrum ,880,40.734222,-73.128069,1.58,1.401,1.579,-24.586372,2024-10-03T14:59:38Z,,,,
18.4,7.2440983999999995,0.28620934872392545,5.724186974478509,1,3,Red maple,Acer rubrum ,897,40.734297,-73.12814,1.69,1.511,1.689,-24.605034,2024-10-03T14:30:30Z,,,,
18.3,7.204728300000001,0.2831068312681812,5.662136625363624,1,3,Scarlet oak,Quercus coccinea,878,40.734183,-73.128031,1.61,1.431,1.609,-24.55838,2024-10-03T15:01:50Z,,,,
16.9,6.6535469,0.24144686935562487,4.828937387112497,1,3,Red maple,Acer rubrum ,896,40.734297,-73.12814,1.69,1.511,1.689,-25.631411,2024-10-03T14:31:33Z,,,,
15.2,5.9842552,0.19531488636925726,3.9062977273851454,1,3,White oak,Quercus alba ,898,40.734297,-73.12814,1.69,1.511,1.689,-24.147831,2024-10-03T14:29:18Z,,Black gum,Sum of Tree Basal Area (sqft),Sum of Basal Area per acre (sqft)
12.8,5.039372800000001,0.13850584739758967,2.7701169479517933,1,3,Red maple,Acer rubrum ,885,40.734239,-73.128078,1.58,1.401,1.579,-25.454126,2024-10-03T14:52:12Z,,Black gum,3.8850450601269957,77.7009012025399
12.4,4.881892400000001,0.12998449155183953,2.5996898310367906,1,3,Red maple,Acer rubrum ,895,40.734213,-73.128136,1.63,1.451,1.629,-24.968931,2024-10-03T14:32:49Z,,Northern red oak,0.11770968134546134,2.3541936269092267
11.8,4.645671800000001,0.11770968134546134,2.3541936269092267,1,3,Northern red oak,Quercus rubra,876,40.734255,-73.128028,1.61,1.431,1.609,-25.472788,2024-10-03T15:04:25Z,,Red maple,5.4815565834776425,109.63113166955283
11.2,4.4094512,0.10604353941377959,2.1208707882755915,1,3,Red maple,Acer rubrum ,881,40.734222,-73.128069,1.58,1.401,1.579,-24.931608,2024-10-03T14:58:41Z,,Sassafras,1.8645199999159416,37.29039999831883
11.1,4.3700811,0.1041583585074281,2.0831671701485623,1,3,Red maple,Acer rubrum ,884,40.734241,-73.128071,1.6,1.421,1.599,-24.633026,2024-10-03T14:53:26Z,,Scarlet oak,6.350498175415107,127.00996350830215
9.4,3.7007894000000006,0.07469712326691298,1.4939424653382596,1,3,Sassafras,Sassafras albidum,886,40.734296,-73.128107,1.67,1.491,1.669,-23.289406,2024-10-03T14:49:16Z,,White oak,0.5463304988962785,10.92660997792557
