tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes,Unnamed: 17,Unnamed: 18
25.0,9.842525,0.5283578773406588,10.567157546813174,1,1,Black gum,Nyssa sylvatica,962,40.843168,-72.563721,1.02,0.71,1.12,11.411436,2024-09-27T16:10:55Z,,,
14.5,5.7086645,0.17773958993739764,3.554791798747953,1,1,Black gum,Nyssa sylvatica,963,40.843144,-72.563703,1.0,0.69,1.097,8.780181,2024-09-27T16:02:37Z,,,
14.2,5.5905542,0.17046093181915264,3.409218636383053,1,1,Red maple,Acer rubrum ,960,40.843117,-72.563771,1.1,0.79,1.197,9.358684,2024-09-27T16:19:41Z,,,
12.5,4.9212625,0.1320894693351647,2.6417893867032936,1,1,Red maple,Acer rubrum ,961,40.843154,-72.563773,1.08,0.77,1.177,10.599666,2024-09-27T16:13:59Z,,,
8.8,3.4645688000000003,0.065465654434017,1.30931308868034,1,1,Red maple,Acer rubrum ,964,40.843121,-72.563741,0.99,0.68,1.087,7.4179,2024-09-27T15:49:48Z,,,
7.9,3.1102379000000004,0.05275970419972883,1.0551940839945766,1,1,Black gum ,Nyssa sylvatica,959,40.84307,-72.563786,1.02,0.71,1.117,9.349353,2024-09-27T16:22:48Z,,,
6.9,2.7165369000000004,0.04024818966430203,0.8049637932860405,1,1,Black gum ,Nyssa sylvatica,958,40.843081,-72.563778,0.98,0.67,1.077,9.759904,2024-09-27T16:24:55Z,,,
31.6,12.440951600000002,0.8441552671956613,16.883105343913225,1,2,Black gum ,Nyssa sylvatica,966,40.843302,-72.563846,1.21,0.9,1.307,9.274708,2024-09-27T15:29:12Z,,,
29.5,11.6141795,0.7356855084091334,14.713710168182669,1,2,Black gum ,Nyssa sylvatica,979,40.843325,-72.563704,1.21,0.9,1.307,10.982224,2024-09-27T15:08:23Z,,,
29.0,11.417329,0.7109583597495905,14.219167194991812,1,2,White oak,Quercus alba ,980,40.843294,-72.563728,1.11,0.8,1.207,7.165971,2024-09-27T15:06:18Z,,,
26.4,10.3937064,0.5891908899061526,11.783817798123053,1,2,Black gum ,Nyssa sylvatica,978,40.843266,-72.563767,1.11,0.8,1.207,6.960696,2024-09-27T15:10:45Z,,,
23.5,9.2519735,0.46685702041820604,9.337140408364121,1,2,Black gum ,Nyssa sylvatica,976,40.843272,-72.563793,1.21,0.9,1.307,7.137979,2024-09-27T15:13:38Z,,,
20.6,8.110240600000001,0.3587423181252512,7.174846362505024,1,2,Black gum ,Nyssa sylvatica,973,40.843228,-72.563865,1.18,0.87,1.277,7.632506,2024-09-27T15:18:43Z,,,
17.5,6.8897675000000005,0.2588953598969228,5.177907197938456,1,2,Black gum ,Nyssa sylvatica,970,40.843319,-72.56383,1.21,0.9,1.307,9.498644,2024-09-27T15:25:56Z,,,
16.9,6.6535469,0.24144686935562487,4.828937387112497,1,2,Black gum ,Nyssa sylvatica,981,40.843332,-72.563783,1.21,0.9,1.307,7.520537,2024-09-27T15:03:34Z,,,
16.1,6.338586100000001,0.21912903261675548,4.382580652335109,1,2,White oak,Quercus alba ,977,40.843274,-72.5638,1.21,0.9,1.307,6.970027,2024-09-27T15:12:17Z,,,
16.1,6.338586100000001,0.21912903261675548,4.382580652335109,1,2,Red maple,Acer rubrum ,974,40.843222,-72.563866,1.16,0.85,1.257,8.304316,2024-09-27T15:16:22Z,,,
15.6,6.1417356000000005,0.20572987684739638,4.114597536947928,1,2,Red maple,Acer rubrum ,975,40.843221,-72.563871,1.16,0.85,1.257,6.680775,2024-09-27T15:15:54Z,,,
9.9,3.8976399,0.08285496889305274,1.657099377861055,1,2,Black gum ,Nyssa sylvatica,982,40.843336,-72.563798,1.23,0.92,1.327,6.382193,2024-09-27T15:01:29Z,,,
9.0,3.5433090000000003,0.06847518090334938,1.3695036180669875,1,2,Black gum ,Nyssa sylvatica,969,40.843319,-72.563839,1.21,0.9,1.307,10.534351,2024-09-27T15:26:14Z,,,
7.7,3.0314977,0.05012214167604425,1.002442833520885,1,2,Black gum ,Nyssa sylvatica,972,40.843225,-72.563851,1.16,0.85,1.257,8.369631,2024-09-27T15:19:08Z,,,
6.8,2.6771668,0.0390900291971713,0.781800583943426,1,2,Black gum ,Nyssa sylvatica,967,40.843279,-72.563857,1.23,0.92,1.327,14.005368,2024-09-27T15:28:28Z,,,
6.4,2.5196864000000003,0.03462646184939742,0.6925292369879483,1,2,Red maple,Acer rubrum ,965,40.843294,-72.563768,1.11,0.8,1.207,9.862541,2024-09-27T15:31:17Z,,,
6.3,2.4803163,0.0335528386426412,0.671056772852824,1,2,Black gum ,Nyssa sylvatica,968,40.843305,-72.563842,1.21,0.9,1.307,9.43333,2024-09-27T15:27:28Z,,,
5.0,1.9685050000000002,0.021134315093626354,0.4226863018725271,1,2,Black gum ,Nyssa sylvatica,971,40.843222,-72.563817,1.16,0.85,1.257,8.556244,2024-09-27T15:21:41Z,,,
45.5,17.9133955,1.750132632903198,35.002652658063965,1,3,Scarlet oak ,Quercus coccinea,997,40.843471,-72.563904,1.44,1.13,1.537,9.591951,2024-09-27T14:12:50Z,,,
32.4,12.7559124,0.8874383445074079,17.748766890148158,1,3,White oak,Quercus alba ,994,40.843392,-72.563982,1.51,1.2,1.607,9.937187,2024-09-27T14:21:37Z,,,
28.1,11.062998100000002,0.6675146616431322,13.350293232862644,1,3,White oak,Quercus alba ,991,40.843321,-72.563845,1.25,0.94,1.347,8.481599,2024-09-27T14:29:48Z,,,
25.4,10.0000054,0.5454005890321589,10.908011780643179,1,3,Scarlet oak,Scarlet oak - Quercus coccinea,998,40.84337,-72.563707,1.24,0.93,1.337,7.542969,2024-09-27T14:11:33Z,,,
25.4,10.0000054,0.5454005890321589,10.908011780643179,1,3,Northern red oak,Quercus rubra,985,40.84337,-72.563878,1.43,1.12,1.527,8.462937,2024-09-27T14:41:59Z,,,
22.4,8.8189024,0.42417415765511834,8.483483153102366,1,3,Scarlet oak,Quercus coccinea,995,40.843375,-72.564011,1.41,1.1,1.507,9.526636,2024-09-27T14:18:45Z,,,
21.2,8.3464612,0.3799442630271771,7.5988852605435415,1,3,White oak,Quercus alba ,984,40.843383,-72.563846,1.33,1.02,1.427,7.539199,2024-09-27T14:45:17Z,,,
17.3,6.811027300000001,0.2530115665748573,5.060231331497146,1,3,White oak,Quercus alba ,986,40.843359,-72.563906,1.37,1.06,1.467,8.612228,2024-09-27T14:41:35Z,,,
15.1,5.9448851000000005,0.19275340737990979,3.8550681475981956,1,3,Black gum ,Black gum - Nysa Sylvatica,992,40.843321,-72.563845,1.25,0.94,1.347,7.27794,2024-09-27T14:28:57Z,,,
