tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude ,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
6.6,2.5984266,0.03682443061913454,0.7364886123826908,1,1,Scarlet oak,Quercus coccinea,12,40.867274,-72.437695,1.1,0.752,1.207,6.624791,2024-11-18T16:16:53Z,,,,,,,,,
6.8,2.6771668,0.0390900291971713,0.781800583943426,1,1,White oak,Quercus alba ,1,40.86719,-72.437719,1.08,0.732,1.187,7.436561,2024-11-18T16:09:44Z,,,,,,,,,
6.8,2.6771668,0.0390900291971713,0.781800583943426,1,1,White oak,Quercus alba ,2,40.867188,-72.437718,1.08,0.732,1.187,6.839397,2024-11-18T16:09:55Z,,,,,Species_common name,Sum of Tree Basal Area (sqft),Sum of Basal Area per acre (sqft),,
8.3,3.2677183000000003,0.05823771867199678,1.1647543734399355,1,1,White oak,Quercus alba ,3,40.867187,-72.437726,1.08,0.732,1.187,6.456839,2024-11-18T16:09:31Z,,,,,Black cherry,0.0335528386426412,0.671056772852824,,
8.5,3.3464585000000002,0.06107817062058016,1.2215634124116033,1,1,Black oak,Quercus velutina,7,40.867218,-72.437696,1.07,0.722,1.177,6.410185,2024-11-18T16:10:42Z,,,,,Grand Total,0.0335528386426412,0.671056772852824,,
8.7,3.4251986999999997,0.06398625237746312,1.2797250475492625,1,1,Black oak,Quercus velutina,16,40.867228,-72.437703,1.05,0.702,1.157,7.436561,2024-11-18T16:20:00Z,,,,,,,,,
9.3,3.6614193000000004,0.07311627649790974,1.4623255299581948,1,1,Scarlet oak,Quercus coccinea,8,40.867237,-72.437715,1.03,0.682,1.137,6.87672,2024-11-18T16:11:08Z,,,,,,,,,
9.8,3.8582698000000004,0.081189584863675,1.6237916972735,1,1,Sasafrass,Sasafrass albidum,10,40.867273,-72.437723,1.18,0.832,1.287,6.419516,2024-11-18T16:14:20Z,,,,,,,,,
10.9,4.291340900000001,0.10043871905094988,2.0087743810189975,1,1,Scarlet oak,Quercus coccinea,9,40.867235,-72.437711,1.03,0.682,1.137,8.350969,2024-11-18T16:11:24Z,,,,,,,,,
13.7,5.3937037,0.15866798399690915,3.173359679938183,1,1,White oak,Quercus alba ,13,40.867283,-72.437686,1.12,0.772,1.227,7.128648,2024-11-18T16:17:38Z,,,,,,,,,
14.1,5.5511841,0.1680685273505542,3.361370547011084,1,1,Black oak,Quercus velutina,5,40.867224,-72.437746,1.09,0.742,1.197,7.343255,2024-11-18T16:09:04Z,,,,,,,,,
15.1,5.9448851000000005,0.19275340737990979,3.8550681475981956,1,1,White oak,Quercus alba ,14,40.86728,-72.437695,1.12,0.772,1.227,6.74609,2024-11-18T16:17:48Z,,,,,,,,,
